"Agencia_ID","town_idx"
1110,"1"
1111,"2"
1112,"3"
1113,"1"
1114,"4"
1116,"5"
1117,"6"
1118,"7"
1119,"8"
1120,"9"
1121,"10"
1122,"11"
1123,"12"
1124,"13"
1126,"14"
1127,"15"
1129,"5"
1130,"16"
1137,"17"
1138,"18"
1139,"8"
1140,"19"
1142,"8"
1143,"20"
1146,"20"
1147,"15"
1150,"5"
1152,"1"
1153,"21"
1155,"15"
1156,"9"
1159,"5"
1160,"22"
1161,"22"
1164,"23"
1165,"16"
1167,"24"
1168,"25"
1170,"6"
1171,"6"
1172,"3"
1173,"3"
1176,"11"
1177,"23"
1179,"2"
1210,"26"
1211,"27"
1212,"28"
1213,"29"
1215,"30"
1216,"7"
1217,"31"
1218,"32"
1219,"33"
1220,"23"
1221,"8"
1222,"20"
1223,"34"
1224,"11"
1227,"35"
1228,"8"
1229,"36"
1232,"26"
1235,"37"
1236,"36"
1237,"38"
1238,"39"
1239,"40"
1242,"41"
1243,"42"
1245,"43"
1250,"4"
1252,"28"
1253,"44"
1255,"20"
1259,"5"
1261,"45"
1262,"23"
1273,"40"
1275,"34"
1276,"29"
1277,"22"
1279,"29"
1281,"34"
1310,"46"
1311,"47"
1312,"48"
1313,"49"
1314,"50"
1315,"51"
1330,"52"
1331,"53"
1332,"54"
1333,"55"
1334,"56"
1335,"57"
1336,"58"
1337,"59"
1338,"60"
1339,"61"
1340,"62"
1341,"63"
1342,"64"
1344,"65"
1345,"66"
1346,"67"
1347,"68"
1348,"69"
1349,"70"
1350,"71"
1351,"72"
1353,"49"
1354,"66"
1355,"68"
1356,"73"
1357,"55"
1358,"57"
1359,"62"
1360,"58"
1361,"74"
1363,"75"
1364,"70"
1366,"76"
1367,"49"
1368,"46"
1371,"65"
1372,"54"
1373,"59"
1374,"68"
1375,"77"
1376,"61"
1377,"78"
1378,"79"
1379,"80"
1380,"80"
1381,"51"
1382,"48"
1383,"81"
1384,"75"
1385,"58"
1386,"47"
1387,"66"
1415,"82"
1419,"83"
1420,"84"
1423,"85"
1427,"86"
1430,"87"
1431,"88"
1434,"89"
1435,"90"
1436,"82"
1437,"91"
1438,"85"
1439,"92"
1441,"90"
1442,"82"
1443,"86"
1445,"93"
1447,"86"
1448,"94"
1449,"88"
1451,"89"
1452,"95"
1453,"96"
1454,"97"
1455,"98"
1456,"94"
1459,"99"
1461,"100"
1462,"101"
1463,"102"
1464,"94"
1465,"103"
1469,"104"
1470,"105"
1471,"106"
1472,"107"
1473,"83"
1474,"90"
1475,"102"
1476,"106"
1477,"108"
1478,"105"
1479,"109"
1480,"103"
1481,"85"
1482,"89"
1484,"110"
1491,"111"
1492,"85"
1493,"84"
1494,"87"
1495,"88"
1496,"91"
1498,"100"
1499,"101"
1512,"112"
1518,"113"
1524,"114"
1530,"115"
1531,"116"
1532,"117"
1533,"118"
1534,"119"
1535,"120"
1536,"121"
1538,"122"
1539,"123"
1541,"124"
1542,"125"
1544,"126"
1545,"127"
1546,"128"
1548,"123"
1549,"123"
1550,"129"
1551,"130"
1552,"131"
1554,"132"
1555,"133"
1556,"113"
1557,"134"
1558,"113"
1560,"131"
1562,"123"
1563,"116"
1564,"126"
1571,"119"
1573,"112"
1576,"132"
1578,"112"
1579,"133"
1580,"135"
1581,"136"
1583,"130"
1585,"113"
1586,"137"
1587,"137"
1588,"130"
1589,"123"
1591,"112"
1592,"138"
1593,"136"
1594,"116"
1595,"118"
1596,"120"
1597,"119"
1598,"126"
1599,"139"
1602,"140"
1611,"141"
1612,"142"
1613,"143"
1614,"144"
1615,"145"
1616,"146"
1617,"147"
1618,"148"
1620,"149"
1622,"150"
1623,"151"
1625,"73"
1626,"152"
1628,"153"
1629,"154"
1631,"155"
1632,"156"
1633,"157"
1634,"158"
1635,"159"
1636,"160"
1637,"161"
1640,"160"
1650,"152"
1653,"159"
1654,"39"
1655,"146"
1656,"162"
1657,"154"
1658,"153"
1659,"153"
1660,"159"
1661,"43"
1663,"155"
1664,"157"
1667,"142"
1668,"141"
1669,"144"
1670,"146"
1671,"38"
1672,"141"
1673,"43"
1674,"144"
1675,"43"
1677,"157"
1678,"144"
1679,"36"
1680,"38"
1681,"39"
1682,"43"
1683,"154"
1684,"159"
1685,"155"
1686,"160"
1687,"161"
1689,"142"
1690,"144"
1691,"146"
1692,"148"
1693,"152"
1694,"163"
1695,"147"
1697,"164"
1698,"165"
1910,"74"
1911,"81"
1912,"166"
1914,"49"
1915,"46"
1934,"167"
1936,"168"
1939,"58"
1942,"168"
1944,"59"
1945,"169"
1952,"135"
1954,"170"
1955,"136"
1956,"171"
1958,"170"
1960,"136"
1961,"138"
1963,"172"
1964,"173"
1967,"174"
1968,"139"
1970,"138"
1971,"175"
1972,"176"
1973,"177"
1974,"72"
1975,"167"
1976,"168"
1977,"58"
1978,"66"
1980,"178"
1981,"170"
1983,"172"
1985,"136"
1987,"59"
1988,"55"
1989,"57"
1990,"62"
1991,"138"
1992,"139"
1993,"127"
1995,"131"
1997,"130"
1998,"130"
2011,"44"
2012,"179"
2013,"180"
2014,"181"
2015,"182"
2016,"183"
2017,"184"
2018,"185"
